Word,POS tag,Tag type
medstar,NNP,PROPN
health,NNP,PROPN
launch,NNP,PROPN
studi,NNP,PROPN
understand,VB,VERB
covid,NNP,PROPN
spread,VBD,VERB
symptom,NN,NOUN
vaccin,NN,NOUN
adopt,VB,VERB
covid,NNP,PROPN
vaccin,NNP,PROPN
whatatm,NN,NOUN
evid,NNP,PROPN
extend,NNP,PROPN
dose,NNP,PROPN
interv,NNP,PROPN
bmj,NNP,PROPN
grate,NNP,PROPN
interpret,NNP,PROPN
read,VBN,VERB
oxford,NNP,PROPN
vaccin,VBD,VERB
better,JJR,ADJ
efficaci,NNP,PROPN
dose,NNP,PROPN
wk,NNP,PROPN
pfizer,NN,NOUN
dose,NN,NOUN
must,MD,AUX
le,FW,X
week,NN,NOUN
correct,JJ,ADJ
yjiden,NNP,PROPN
michaelbarden,NNP,PROPN
covid,JJ,ADJ
total,JJ,ADJ
scam,NN,NOUN
fool,NN,NOUN
believ,NNP,PROPN
whatev,NNP,PROPN
govt,NN,NOUN
msm,NN,NOUN
tell,VBP,VERB
obvious,JJ,ADJ
fake,JJ,ADJ
plandem,NN,NOUN
mask,NN,NOUN
work,NN,NOUN
there,RB,ADV
thing,NN,NOUN
asymptomat,NN,NOUN
transmiss,NN,NOUN
viru,NNP,PROPN
delud,NN,NOUN
myth,NN,NOUN
vaccin,VBZ,VERB
harm,NN,NOUN
u,NN,NOUN
woman,NN,NOUN
experi,JJ,ADJ
side,NN,NOUN
effect,NN,NOUN
covid,NN,NOUN
vaccin,VBD,VERB
covid,JJ,ADJ
vaccin,VB,VERB
side,NN,NOUN
effect,NN,NOUN
common,JJ,ADJ
nd,NN,NOUN
dose,VB,VERB
novavax,NNP,PROPN
say,VBP,VERB
covid,NNP,PROPN
vaccin,NNP,PROPN
effect,NN,NOUN
far,RB,ADV
le,UH,INTJ
one,CD,NUM
variant,NN,NOUN
via,IN,ADP
statnew,NNP,PROPN
pharma,NNP,PROPN
covid,NNP,PROPN
coronaviru,NNP,PROPN
vaccin,NNP,PROPN
nvax,NNP,PROPN
wisconsin,NNP,PROPN
pharmacist,NNP,PROPN
accus,NNP,PROPN
tri,NNP,PROPN
destroy,VB,VERB
covid,JJ,ADJ
vaccin,NNP,PROPN
admit,NNP,PROPN
conspiraci,NNP,PROPN
theorist,NN,NOUN
told,VBD,VERB
investig,NNP,PROPN
believ,NNP,PROPN
covid,NNP,PROPN
vaccin,VBD,VERB
safe,JJ,ADJ
peopl,NN,NOUN
could,MD,AUX
harm,VB,VERB
chang,NNP,PROPN
dnaa,NNP,PROPN
northern,JJ,ADJ
light,JJ,ADJ
covid,NN,NOUN
vaccin,NNS,NOUN
dad,NNP,PROPN
demand,NN,NOUN
answer,VBP,VERB
health,NN,NOUN
worker,NN,NOUN
daughter,NN,NOUN
die,VBP,VERB
two,CD,NUM
day,NN,NOUN
covid,NN,NOUN
vaccin,NN,NOUN
bell,NNP,PROPN
palsi,NNP,PROPN
convent,NNP,PROPN
medicin,NNP,PROPN
say,VBP,VERB
caus,NNP,PROPN
unknown,NNP,PROPN
go,VB,VERB
away,RB,ADV
time,NN,NOUN
there,EX,PRON
grow,VBP,VERB
evid,NNP,PROPN
caus,NNP,PROPN
vaccin,NNP,PROPN
especi,NNP,PROPN
flu,VB,VERB
covid,NNP,PROPN
pharmaceut,NNS,NOUN
industri,NNP,PROPN
seem,VBP,VERB
interest,NN,NOUN
investig,NN,NOUN
wonder,NN,NOUN
bellspalsi,NN,NOUN
heathdonsmcgreg,NNP,PROPN
mfwitch,VB,VERB
itatm,JJ,ADJ
good,JJ,ADJ
skeptic,JJ,ADJ
point,NN,NOUN
claim,NN,NOUN
two,CD,NUM
vaccin,NN,NOUN
hold,VB,VERB
fda,NNP,PROPN
approv,NN,NOUN
good,JJ,ADJ
enough,RB,ADV
chanc,VBZ,VERB
possibl,JJ,ADJ
side,NN,NOUN
effect,NN,NOUN
show,VBP,VERB
road,NN,NOUN
v,FW,X
chanc,NN,NOUN
covid,JJ,ADJ
right,JJ,ADJ
balanc,NN,NOUN
ymmv,NN,NOUN
uwu,NNP,PROPN
weseawchew,NNP,PROPN
uwg,NNP,PROPN
govewn,VBN,VERB
deway,NN,NOUN
administew,JJ,ADJ
da,NNP,PROPN
second,NNP,PROPN
dose,NNP,PROPN
pfizew,NNP,PROPN
inc,NNP,PROPN
covid,NNP,PROPN
vaccin,NNP,PROPN
said,VBD,VERB
efficaci,NNP,PROPN
aftew,NNP,PROPN
da,NNP,PROPN
fiwst,NN,NOUN
dose,NN,NOUN
wear,VB,VERB
mask,NN,NOUN
keep,VB,VERB
social,JJ,ADJ
distanc,NNS,NOUN
wash,VBP,VERB
hand,NN,NOUN
best,JJS,ADJ
covid,NN,NOUN
vaccin,NNP,PROPN
covidinsa,NN,NOUN
say,VB,VERB
vaccin,NN,NOUN
use,VB,VERB
live,JJ,ADJ
viru,NN,NOUN
can,MD,AUX
not,RB,PART
give,VB,VERB
someon,NN,NOUN
covid,NN,NOUN
rrrbyn,NNP,PROPN
covid,NN,NOUN
vaccin,NN,NOUN
use,VB,VERB
one,CD,NUM
two,CD,NUM
human,JJ,ADJ
fetal,JJ,ADJ
cell,NN,NOUN
line,NN,NOUN
hek,NNP,PROPN
kidney,NNP,PROPN
cell,NN,NOUN
line,NN,NOUN
wide,JJ,ADJ
use,NN,NOUN
research,NN,NOUN
industri,JJ,ADJ
come,NNP,PROPN
fetu,NN,NOUN
abort,NNP,PROPN
perc,NN,NOUN
proprietari,JJ,ADJ
cell,NN,NOUN
line,NN,NOUN
own,JJ,ADJ
johnson,NNP,PROPN
johnson,NNP,PROPN
develop,VB,VERB
fetu,NN,NOUN
abort,JJ,ADJ
new,JJ,ADJ
cwmh,NN,NOUN
blog,NN,NOUN
pregnant,JJ,ADJ
woman,NN,NOUN
covid,NN,NOUN
vaccin,NNS,NOUN
question,NN,NOUN
remain,VBP,VERB
around,IN,ADP
strategi,NN,NOUN
curb,NN,NOUN
continu,NN,NOUN
spread,VBD,VERB
covid,NNP,PROPN
join,NN,NOUN
u,NNP,PROPN
webinar,NN,NOUN
tomorrow,NN,NOUN
noon,NN,NOUN
expert,NN,NOUN
answer,NN,NOUN
question,NN,NOUN
vaccin,NN,NOUN
treatment,NN,NOUN
prevent,NN,NOUN
expect,VBP,VERB
go,VB,VERB
forward,RB,ADV
regist,VB,VERB
amoderna,NNP,PROPN
expect,VBP,VERB
covid,JJ,ADJ
vaccin,NNP,PROPN
protect,VB,VERB
uk,NNP,PROPN
coronaviru,NNP,PROPN
variant,JJ,ADJ
reutersa,NNP,PROPN
question,NN,NOUN
work,NN,NOUN
get,VBP,VERB
covid,JJ,ADJ
vaccin,NN,NOUN
question,NN,NOUN
answer,NN,NOUN
concern,NN,NOUN
vaccin,NNS,NOUN
let,VB,VERB
u,PRP,PRON
know,VB,VERB
covid,JJ,ADJ
stori,NN,NOUN
found,VBD,VERB
first,RB,ADV
shot,VBD,VERB
florida,NNP,PROPN
teen,NNP,PROPN
start,VBP,VERB
covid,JJ,ADJ
vaccin,VB,VERB
trial,NN,NOUN
journey,NN,NOUN
dr,NNP,PROPN
anthoni,NNP,PROPN
fauci,VBD,VERB
top,NNP,PROPN
infecti,NNP,PROPN
diseas,NNP,PROPN
specialist,JJ,ADJ
unit,NN,NOUN
state,NN,NOUN
say,VBP,VERB
pfizerbiontech,NNP,PROPN
moderna,NN,NOUN
vaccin,NNP,PROPN
effect,NN,NOUN
could,MD,AUX
crush,VB,VERB
covid,JJ,ADJ
pandem,NNP,PROPN
spoke,VBD,VERB
white,NNP,PROPN
coat,NNP,PROPN
black,JJ,ADJ
art,NN,NOUN
host,NN,NOUN
dr,NNP,PROPN
brian,NNP,PROPN
goldman,NNP,PROPN
covid,JJ,ADJ
vaccin,NN,NOUN
bring,VB,VERB
infect,JJ,ADJ
show,NNP,PROPN
israela,NNP,PROPN
studi,NNP,PROPN
californiaatm,NNP,PROPN
state,NNP,PROPN
epidemiologist,NNP,PROPN
urg,NNP,PROPN
covid,NNP,PROPN
vaccin,NNP,PROPN
provid,NNP,PROPN
paus,NNP,PROPN
distribut,NNP,PROPN
one,CD,NUM
moderna,NN,NOUN
vaccin,NN,NOUN
lot,NN,NOUN
investig,NN,NOUN
ahigh,NN,NOUN
usuala,NN,NOUN
number,NN,NOUN
allerg,NN,NOUN
reaction,NN,NOUN
interessant,JJ,ADJ
video,NN,NOUN
ban,NNP,PROPN
youtub,NNP,PROPN
dr,NNP,PROPN
simon,NNP,PROPN
gold,NNP,PROPN
share,NN,NOUN
truth,NN,NOUN
covid,NN,NOUN
vaccin,NNS,NOUN
must,MD,AUX
view,VB,VERB
principl,NN,NOUN
vaccin,VB,VERB
program,NN,NOUN
control,NN,NOUN
covid,JJ,ADJ
via,IN,ADP
youtub,NN,NOUN
covid,JJ,ADJ
vaccin,VB,VERB
protect,NN,NOUN
viru,NN,NOUN
outweigh,NNP,PROPN
potenti,NNP,PROPN
allergi,NNP,PROPN
risk,NNP,PROPN
expert,NN,NOUN
say,VBP,VERB
cbc,NNS,NOUN
spent,VBD,VERB
time,NN,NOUN
today,NN,NOUN
look,VB,VERB
whether,IN,SCONJ
covid,JJ,ADJ
vaccin,NN,NOUN
do,VBP,AUX
go,VB,VERB
wast,JJ,ADJ
peopl,NN,NOUN
can,MD,AUX
not,RB,PART
attend,VB,VERB
appoint,JJ,ADJ
etc,FW,X
healthcar,NN,NOUN
staff,NN,NOUN
spoken,VBN,VERB
say,VBP,VERB
problem,NN,NOUN
offer,NN,NOUN
do,VB,VERB
other,JJ,ADJ
short,JJ,ADJ
notic,NN,NOUN
covid,JJ,ADJ
vaccin,NN,NOUN
like,IN,ADP
benefici,NNP,PROPN
breastf,NN,NOUN
babi,NNS,NOUN
question,NN,NOUN
remain,VBP,VERB
via,IN,ADP
kpbsnew,NN,NOUN
alright,UH,INTJ
guy,NN,NOUN
want,VB,VERB
make,VB,VERB
trip,NN,NOUN
pact,NN,NOUN
cuz,IN,SCONJ
iatmm,JJ,ADJ
summer,NN,NOUN
covid,NN,NOUN
vaccin,VBD,VERB
safe,JJ,ADJ
peopl,NN,NOUN
arenatmt,NNS,NOUN
suffer,VBP,VERB
bell,NNP,PROPN
palsi,NNP,PROPN
side,NN,NOUN
effect,NN,NOUN
